load,proposed,baseline,baseline_paper_name,metric,direction,paired_seeds,arm_minus_baseline_mean,ci95_low,ci95_high,wins,losses,ties
high,combo_s1_j1,phasec,WM-Base,pending_order_count,lower,10,-77.4,-189.0,-0.7,5,2,3
high,combo_s1_j1,phasec,WM-Base,stall_ratio_mean,lower,10,-0.002893,-0.0234,0.014887,5,5,0
high,combo_s1_j1,phasec,WM-Base,stall_ratio_max,lower,10,0.008333,-0.00625,0.022917,1,4,5
high,combo_s1_j1,phasec,WM-Base,deadlock_ratio_mean,lower,10,-0.102383,-0.262364,0.013692,6,4,0
high,combo_s1_j1,phasec,WM-Base,deadlock_ratio_max,lower,10,-0.170833,-0.4125,0.002083,4,2,4
high,combo_s1_j1,phasec,WM-Base,congestion_events,lower,10,-175.7,-478.5,56.8,5,5,0
high,combo_s1_j1,phasec,WM-Base,severe_events,lower,10,-178.3,-479.2,50.3,4,6,0
high,combo_s1_j1,phasec,WM-Base,risk_rate_per_100,lower,10,-11.71332,-31.89998,3.78667,5,5,0
high,combo_s1_j1,phasec,WM-Base,assignment_time_ms_mean,lower,10,5.58225,-11.53309,24.38887,4,6,0
high,combo_s1_j1,phasec,WM-Base,wall_time_s,lower,10,-0.178,-127.479,126.303,5,5,0
