map_size,robot_density,num_robots,load,arm,n,completed_orders_mean,completed_orders_ci_low,completed_orders_ci_high,avg_excess_delay_mean,avg_excess_delay_ci_low,avg_excess_delay_ci_high,deadlock_ratio_mean_mean,deadlock_ratio_mean_ci_low,deadlock_ratio_mean_ci_high,risk_rate_per_100_mean,risk_rate_per_100_ci_low,risk_rate_per_100_ci_high
20,0.12,48,mid,combo_s1_j1,10,286.0,176.83988015497505,395.16011984502495,26.16135636061381,22.395168139773304,29.927544581454313,0.4915875,0.2793121413652335,0.7038628586347665,61.09335,39.82568651861871,82.36101348138129
20,0.12,48,mid,greedy,10,373.5,280.9146178919962,466.0853821080038,32.05625971974358,29.901351834487187,34.21116760499997,0.3530832,0.19163972822976497,0.514526671770235,54.36,40.27106719441778,68.44893280558222
20,0.12,48,mid,hungarian,10,389.3,313.43464725531726,465.16535274468276,30.448751812823854,27.17805465347216,33.71944897217555,0.2397194,0.07244592836767696,0.406992871632323,41.51334,22.6352292084873,60.391450791512696
20,0.12,48,mid,jsq,10,358.5,245.19261962855083,471.8073803714492,27.436292663908134,23.57811592720115,31.294469400615117,0.3188764,0.08581688367493129,0.5519359163250688,43.44666,18.07744599416538,68.81587400583462
20,0.12,48,mid,phasec,10,376.5,245.7240746269415,507.2759253730585,29.56213356228997,26.43568850464769,32.688578619932244,0.3191653,0.06621434058759029,0.5721162594124096,42.52,17.01400599955815,68.02599400044186
20,0.15,60,high,combo_s1_j1,10,369.0,268.1219934199309,469.8780065800691,28.26668407922874,25.866995232732883,30.666372925724595,0.4029343,0.20551024237658563,0.6003583576234144,59.38668,38.149079196039565,80.62428080396043
20,0.15,60,high,greedy,10,345.2,206.46796707331592,483.9320329266841,29.084046865860383,24.814490993566586,33.35360273815418,0.4233178,0.17485422821038188,0.6717813717896182,57.24667,33.206854718566376,81.28648528143363
20,0.15,60,high,hungarian,10,372.2,257.8926217936906,486.5073782063094,30.867049955763065,27.67295511290321,34.06114479862292,0.3933178,0.17348307482435285,0.6131525251756471,57.63333,34.71885672229393,80.54780327770607
20,0.15,60,high,jsq,10,324.0,208.55263400706068,439.44736599293935,28.104914445711337,23.610085103181454,32.59974378824122,0.4768867,0.2601914895146274,0.6935819104853727,60.88001,37.21307083772426,84.54694916227574
20,0.15,60,high,phasec,10,396.0,293.3718356316439,498.6281643683561,30.504880772849706,27.6826533171807,33.32710822851871,0.3446945,0.15514404420369976,0.5342449557963003,53.05334,33.415923917884825,72.69075608211517
20,0.15,60,low,combo_s1_j1,10,387.7,299.5867602591182,475.8132397408818,25.234794656174298,21.647379413328096,28.8222098990205,0.1521445,-0.045167877184043276,0.3494568771840433,26.49334,2.0729692442392462,50.913710755760754
20,0.15,60,low,greedy,10,322.4,214.7921007293437,430.00789927065625,28.244171062838475,24.150658866973316,32.337683258703635,0.4185899,0.2054024911701045,0.6317773088298955,56.38,31.32933002948652,81.43066997051349
20,0.15,60,low,hungarian,10,349.2,265.54720757515236,432.8527924248476,28.896624046941454,26.416939177095283,31.376308916787625,0.2832266,0.08160521837008314,0.4848479816299168,41.13333,17.88369685225412,64.38296314774588
20,0.15,60,low,jsq,10,345.8,239.3018521030708,452.2981478969292,28.05141506203659,23.949523984236453,32.15330613983672,0.346472,0.11481190036964423,0.5781320996303558,49.04,21.513829634076117,76.56617036592388
20,0.15,60,low,phasec,10,340.7,272.8193262152668,408.58067378473316,24.034172835819366,21.17541635462499,26.892929317013742,0.2652024,0.056574092362304595,0.4738307076376954,35.74667,10.319949089188302,61.173390910811705
20,0.15,60,mid,combo_s1_j1,10,353.4,248.45053467886774,458.34946532113224,26.981848797139786,23.106423966456067,30.857273627823506,0.3580378,0.1259189073130719,0.5901566926869282,51.18001,27.730797276708163,74.62922272329185
20,0.15,60,mid,greedy,10,351.2,236.1587863704102,466.24121362958977,27.136419603296556,24.20369190483313,30.069147301759983,0.3691289,0.12122308242815732,0.6170347175718427,48.71999,20.83760682703872,76.60237317296128
20,0.15,60,mid,hungarian,10,364.6,247.38076763653353,481.81923236346654,27.45285596356135,22.87763625565374,32.02807567146896,0.37213,0.1391548413847681,0.605105158615232,52.12666,27.27891629152996,76.97440370847005
20,0.15,60,mid,jsq,10,384.7,270.67638265790123,498.72361734209875,28.601139302603894,25.556827799144695,31.645450806063092,0.2808978,0.03685186791265338,0.5249437320873466,40.08666,12.847765128700267,67.32555487129974
20,0.15,60,mid,phasec,10,310.2,211.29787253806626,409.1021274619337,25.135470506297494,21.187611311754534,29.083329700840455,0.5053667000000001,0.323863881343863,0.6868695186561371,66.56667,47.74026816467851,85.39307183532149
20,0.18,72,high,combo_s1_j1,10,332.7,236.98817469782935,428.41182530217066,28.584335645312244,24.47205540790315,32.69661588272134,0.4687167,0.27558534591501915,0.6618480540849808,68.07999,43.862172734865574,92.29780726513442
20,0.18,72,high,greedy,10,327.9,200.53680161479315,455.2631983852068,29.990049413705062,24.207379826597876,35.772719000812245,0.4712807,0.2468388125945375,0.6957225874054624,69.90666,48.33222635718076,91.48109364281925
20,0.18,72,high,hungarian,10,330.0,214.26487166771466,445.73512833228534,33.63436935468675,28.646146389147987,38.62259232022551,0.512585,0.3240932005977688,0.7010767994022311,75.72667,57.742452438834164,93.71088756116583
20,0.18,72,high,jsq,10,280.5,212.86587229011468,348.1341277098853,28.67902828414016,24.588370782254252,32.769685786026066,0.5846999,0.4703804094527817,0.6990193905472184,82.89333,69.59584672915935,96.19081327084066
20,0.18,72,high,phasec,10,325.0,219.35782563184762,430.6421743681524,29.682542200817682,24.035895459873544,35.32918894176182,0.4833628,0.2918431886031144,0.6748824113968855,74.22002,57.73724872194289,90.70279127805712
20,0.18,72,low,combo_s1_j1,10,313.8,219.5260797815696,408.07392021843043,25.72798818045102,19.945847580239764,31.510128780662278,0.3723704,0.14233141308879518,0.6024093869112048,57.41333,30.03853465912382,84.78812534087618
20,0.18,72,low,greedy,10,310.5,192.3261328925737,428.6738671074263,29.975264640944882,23.534641560802058,36.41588772108771,0.424888,0.1981997275585703,0.6515762724414297,63.39335,39.936967926161465,86.84973207383854
