variant,load,seed,arm,ticks,assignment_time_ms_mean,avg_excess_delay,avg_task_duration,completed_orders,completed_tasks,congestion_events,deadlock_ratio_max,deadlock_ratio_mean,open_order_count,pending_order_count,risk_rate_per_100,severe_events,stall_ratio_max,stall_ratio_mean,wall_time_s
map20_r48_s6,mid,725,hungarian,1500,,27.376192042091418,40.243341006247945,370,3041,340,0.5,0.050083,378,365,22.6667,255,0.270833,0.025528,177.24
map20_r48_s6,mid,726,hungarian,1500,,25.597143806044503,38.87578877449352,711,3011,156,0.395833,0.025111,50,33,10.4,120,0.166667,0.022847,60.49
map20_r48_s6,mid,727,hungarian,1500,,22.27714033539276,35.10503089143866,192,1133,1100,1.0,0.646653,555,542,73.3333,1080,0.270833,0.179361,1158.43
map20_r48_s6,mid,728,hungarian,1500,,25.204262295081968,38.877049180327866,624,3050,61,0.145833,0.010833,137,112,4.0667,16,0.125,0.015208,63.1
map20_r48_s6,mid,729,hungarian,1500,,25.45685618729097,38.72642140468228,622,2990,226,0.416667,0.030292,162,151,15.0667,174,0.1875,0.024931,110.69
map20_r48_s6,mid,730,hungarian,1500,,22.92356055592323,36.531767041694245,724,3022,32,0.166667,0.008264,39,2,2.1333,29,0.166667,0.016958,59.58
map20_r48_s6,high,721,hungarian,1500,,22.913560411311053,36.2879177377892,672,3112,19,0.145833,0.006014,112,96,1.2667,8,0.125,0.013292,68.54
map20_r48_s6,high,722,hungarian,1500,,25.82934131736527,39.35462408516301,600,3006,125,0.208333,0.017,148,114,8.3333,68,0.125,0.016292,69.63
map20_r48_s6,high,723,hungarian,1500,,19.75378787878788,32.82121212121212,557,2640,11,0.104167,0.002736,22,0,0.7333,7,0.104167,0.009611,51.98
map20_r48_s6,high,724,hungarian,1500,,25.644689834361806,39.08281909710945,505,3079,76,0.125,0.012083,257,239,5.0667,45,0.125,0.017361,100.66
map20_r48_s6,high,725,hungarian,1500,,28.428002654280025,41.43264764432648,420,3014,329,0.291667,0.040333,329,305,21.9333,272,0.208333,0.027792,187.92
map20_r48_s6,high,726,hungarian,1500,,23.908353060534324,37.250253635441325,495,2957,253,0.916667,0.069375,199,182,16.8667,219,0.229167,0.034972,174.0
map20_r48_s6,high,727,hungarian,1500,,25.27028280018544,38.60917941585535,256,2157,794,1.0,0.330667,501,484,52.9333,731,0.291667,0.108806,604.18
map20_r48_s6,high,728,hungarian,1500,,22.14224343675418,35.19379474940334,308,2095,750,0.979167,0.373069,495,483,50.0,724,0.25,0.103792,714.49
map20_r48_s6,high,729,hungarian,1500,,26.327852004110998,39.464542651593014,521,2919,313,0.270833,0.037069,160,141,20.8667,251,0.1875,0.026722,127.51
map20_r48_s6,high,730,hungarian,1500,,24.135906040268456,37.65469798657718,715,2980,100,0.25,0.015292,37,0,6.6667,70,0.166667,0.017958,65.48
map20_r48_s6,low,721,phasec,1500,141.8106,21.632826475849733,34.944543828264756,514,2236,449,0.1875,0.063014,33,7,29.9333,302,0.229167,0.068083,818.99
map20_r48_s6,low,722,phasec,1500,114.3973,23.690376569037657,37.016039051603904,678,2868,36,0.1875,0.006986,40,6,2.4,23,0.125,0.013444,227.57
map20_r48_s6,low,723,phasec,1500,151.0509,21.86967241986615,34.91299753434308,660,2839,9,0.083333,0.005222,23,0,0.6,0,0.145833,0.015403,298.13
map20_r48_s6,low,724,phasec,1500,131.8724,23.526017699115044,36.858053097345135,660,2825,43,0.125,0.007097,25,1,2.8667,17,0.229167,0.017069,284.5
map20_r48_s6,low,725,phasec,1500,156.428,22.53803654908627,36.11644708882278,543,2353,230,0.1875,0.025653,17,0,15.3333,207,0.166667,0.031056,456.14
map20_r48_s6,low,726,phasec,1500,124.3698,22.055929203539822,35.40106194690266,649,2825,19,0.104167,0.009694,29,2,1.2667,7,0.145833,0.021278,276.02
map20_r48_s6,low,727,phasec,1500,137.0216,21.764831261101243,34.72504440497336,656,2815,134,0.458333,0.037236,49,13,8.9333,127,0.1875,0.026806,359.3
map20_r48_s6,low,728,phasec,1500,130.7862,21.443933498408207,34.921825256455605,692,2827,127,0.145833,0.040278,37,3,8.4667,31,0.1875,0.050764,680.95
map20_r48_s6,low,729,phasec,1500,120.5176,21.576187101346562,35.14528703047484,688,2822,869,0.1875,0.054014,40,5,57.9333,76,0.229167,0.064819,796.7
map20_r48_s6,low,730,phasec,1500,120.5742,23.323487544483985,36.92740213523132,667,2810,357,0.208333,0.034167,36,3,23.8,150,0.208333,0.045875,519.52
map20_r48_s6,mid,721,phasec,1500,138.0457,35.671176470588236,48.88294117647059,366,1700,907,0.604167,0.165333,16,0,60.4667,833,0.645833,0.127792,1666.9
map20_r48_s6,mid,722,phasec,1500,37.7321,19.86530612244898,33.375510204081635,287,1225,1217,1.0,0.636667,450,420,81.1333,1200,0.1875,0.121056,646.79
map20_r48_s6,mid,723,phasec,1500,218.4702,18.609178013111446,31.902672718103883,414,1983,31,0.083333,0.017111,12,0,2.0667,0,0.145833,0.025306,550.4
