variant,arm,load,seed,map_rows,map_cols,num_robots,num_stations,robot_density,order_arrival_count,completion_fraction,completed_orders,completed_tasks,avg_task_duration,avg_excess_delay,open_order_count,pending_order_count,stall_ratio_mean,stall_ratio_max,deadlock_ratio_mean,deadlock_ratio_max,congestion_events,severe_events,risk_rate_per_100
map20_r48_s4,phasec,low,709,20,20,48,4,0.12,404,0.9727722772277227,393,1849,38.14548404542996,24.226068144943213,11,0,0.013444,0.145833,0.008389,0.125,48,27,3.2
map20_r48_s4,phasec,low,710,20,20,48,4,0.12,374,0.9679144385026738,362,1729,38.227299016772704,24.810873337189125,12,0,0.009986,0.166667,0.010819,0.25,89,67,5.9333
map20_r48_s4,combo_s1_j1,mid,701,20,20,48,4,0.12,568,0.41725352112676056,237,1071,42.12511671335201,28.3781512605042,331,298,0.203403,0.354167,0.566528,1.0,925,917,61.6667
map20_r48_s4,combo_s1_j1,mid,702,20,20,48,4,0.12,437,0.2471395881006865,108,457,28.632385120350108,15.676148796498905,329,291,0.196056,0.25,0.841319,1.0,1398,1392,93.2
map20_r48_s4,combo_s1_j1,mid,703,20,20,48,4,0.12,526,0.2832699619771863,149,649,33.79969183359014,19.57473035439137,377,340,0.058319,0.104167,0.781861,1.0,1359,1359,90.6
map20_r48_s4,combo_s1_j1,mid,704,20,20,48,4,0.12,470,0.6553191489361702,308,1353,40.55062823355506,26.596452328159646,162,124,0.132056,0.25,0.474833,0.9375,889,867,59.2667
map20_r48_s4,combo_s1_j1,mid,705,20,20,48,4,0.12,523,0.9694072657743786,507,2194,44.41476754785779,30.667274384685506,16,0,0.017639,0.145833,0.022556,0.229167,187,126,12.4667
map20_r48_s4,combo_s1_j1,mid,706,20,20,48,4,0.12,555,0.972972972972973,540,2286,45.27077865266842,31.281714785651793,15,0,0.014389,0.166667,0.020333,0.25,168,114,11.2
map20_r48_s4,combo_s1_j1,mid,707,20,20,48,4,0.12,495,0.3515151515151515,174,714,36.61764705882353,22.58263305322129,321,282,0.147333,0.208333,0.758139,1.0,1356,1341,90.4
map20_r48_s4,combo_s1_j1,mid,708,20,20,48,4,0.12,502,0.2788844621513944,140,686,40.4868804664723,26.597667638483966,362,331,0.128222,0.208333,0.694,1.0,1165,1155,77.6667
map20_r48_s4,combo_s1_j1,mid,709,20,20,48,4,0.12,547,0.6819012797074955,373,1651,44.5366444579043,30.020593579648697,174,138,0.115611,0.291667,0.388153,0.895833,919,858,61.2667
map20_r48_s4,combo_s1_j1,mid,710,20,20,48,4,0.12,443,0.7313769751693002,324,1398,44.07081545064378,30.238197424892704,119,85,0.086472,0.208333,0.368153,0.979167,798,770,53.2
map20_r48_s4,greedy,mid,701,20,20,48,4,0.12,568,0.9366197183098591,532,2331,50.65594165594165,36.35821535821536,36,5,0.028819,0.166667,0.048958,0.520833,355,245,23.6667
map20_r48_s4,greedy,mid,702,20,20,48,4,0.12,437,0.3684210526315789,161,705,38.707801418439715,24.90921985815603,276,243,0.205333,0.291667,0.735069,1.0,1343,1306,89.5333
map20_r48_s4,greedy,mid,703,20,20,48,4,0.12,526,0.844106463878327,444,2024,46.30978260869565,32.201581027667984,82,51,0.074833,0.25,0.216194,0.916667,659,600,43.9333
map20_r48_s4,greedy,mid,704,20,20,48,4,0.12,470,0.5680851063829787,267,1234,45.71555915721232,31.424635332252837,203,174,0.064792,0.145833,0.503833,1.0,900,860,60.0
map20_r48_s4,greedy,mid,705,20,20,48,4,0.12,523,0.780114722753346,408,1742,45.872560275545354,31.82548794489093,115,78,0.086319,0.25,0.332944,0.958333,857,785,57.1333
map20_r48_s4,greedy,mid,706,20,20,48,4,0.12,555,0.8990990990990991,499,2151,47.11390051139005,32.91492329149233,56,24,0.055903,0.25,0.164792,0.9375,597,557,39.8
map20_r48_s4,greedy,mid,707,20,20,48,4,0.12,495,0.7212121212121212,357,1558,48.20218228498074,33.8992297817715,138,99,0.089306,0.208333,0.403417,1.0,964,896,64.2667
map20_r48_s4,greedy,mid,708,20,20,48,4,0.12,502,0.8426294820717132,423,1873,47.642819006940734,33.13294180459157,79,47,0.064736,0.208333,0.231625,0.958333,706,649,47.0667
map20_r48_s4,greedy,mid,709,20,20,48,4,0.12,547,0.8446069469835467,462,2006,48.35194416749751,33.72183449651047,85,52,0.064667,0.229167,0.214903,0.979167,595,525,39.6667
map20_r48_s4,greedy,mid,710,20,20,48,4,0.12,443,0.4108352144469526,182,848,44.64740566037736,30.17452830188679,261,226,0.158931,0.229167,0.679097,1.0,1178,1142,78.5333
map20_r48_s4,hungarian,mid,701,20,20,48,4,0.12,568,0.6338028169014085,360,1728,45.859375,32.01851851851852,208,185,0.080403,0.208333,0.336778,0.9375,779,741,51.9333
map20_r48_s4,hungarian,mid,702,20,20,48,4,0.12,437,0.9702517162471396,424,1937,38.42540010325245,24.738255033557046,13,0,0.016014,0.166667,0.017361,0.25,116,87,7.7333
map20_r48_s4,hungarian,mid,703,20,20,48,4,0.12,526,0.8460076045627376,445,1952,43.93801229508197,29.878073770491802,81,51,0.076014,0.270833,0.230208,0.895833,544,499,36.2667
map20_r48_s4,hungarian,mid,704,20,20,48,4,0.12,470,0.6468085106382979,304,1367,40.8902706656913,27.42721287490856,166,127,0.097347,0.25,0.471792,1.0,889,851,59.2667
map20_r48_s4,hungarian,mid,705,20,20,48,4,0.12,523,0.9158699808795411,479,2020,46.5470297029703,32.7970297029703,44,5,0.055153,0.25,0.189875,0.770833,702,649,46.8
map20_r48_s4,hungarian,mid,706,20,20,48,4,0.12,555,0.9063063063063063,503,2133,45.283169245194564,31.454289732770746,52,20,0.061069,0.25,0.164472,0.9375,565,506,37.6667
map20_r48_s4,hungarian,mid,707,20,20,48,4,0.12,495,0.3474747474747475,172,700,37.97,24.457142857142856,323,283,0.19625,0.3125,0.762597,1.0,1371,1352,91.4
map20_r48_s4,hungarian,mid,708,20,20,48,4,0.12,502,0.9681274900398407,486,2169,45.630244352236055,31.859843245735362,16,0,0.016778,0.1875,0.027889,0.229167,214,167,14.2667
map20_r48_s4,hungarian,mid,709,20,20,48,4,0.12,547,0.5319926873857403,291,2113,54.132986275437766,40.36251774727875,256,229,0.070847,0.3125,0.177986,0.6875,908,822,60.5333
map20_r48_s4,hungarian,mid,710,20,20,48,4,0.12,443,0.9683972911963883,429,1957,43.36944302503832,29.49463464486459,14,0,0.014431,0.208333,0.018236,0.208333,139,96,9.2667
