load,seed,branch,completed_orders,deadlock_ratio,risk_per_100,avg_excess_delay,final_backlog
high,939,Hungarian,111.0,0.769222,92.0,30.032208588957054,828.0
high,940,Hungarian,570.0,0.034847,19.3333,33.65122156697557,25.0
high,941,Hungarian,514.0,0.011819,5.6,28.50516795865633,24.0
high,942,Hungarian,260.0,0.576292,72.4,25.38235294117647,504.0
high,943,Hungarian,400.0,0.331556,59.2667,31.81448467966574,311.0
high,944,Hungarian,277.0,0.528139,75.6,28.095736122284794,429.0
high,945,Hungarian,350.0,0.420653,62.0,31.29527559055118,358.0
high,946,Hungarian,506.0,0.076028,33.8667,36.365280289330926,40.0
high,947,Hungarian,520.0,0.028528,17.4,31.811033883579498,30.0
high,948,Hungarian,91.0,0.773819,87.0,25.34433962264151,869.0
high,949,Hungarian,281.0,0.523389,67.2,31.929992044550517,543.0
high,900,JSQ,537.0,0.038958,23.8,34.139799038881605,25.0
high,901,JSQ,259.0,0.605819,73.9333,27.33926981300089,569.0
high,902,JSQ,290.0,0.458944,74.2667,30.662073966642495,442.0
high,903,JSQ,459.0,0.267583,48.2667,31.95691489361702,263.0
high,904,JSQ,506.0,0.008153,2.8667,27.599464763603926,20.0
high,905,JSQ,258.0,0.578639,75.2667,28.410034602076124,532.0
high,906,JSQ,434.0,0.279181,43.8667,30.348266666666667,234.0
high,907,JSQ,430.0,0.344,63.1333,33.618043350908025,229.0
high,908,JSQ,535.0,0.050472,29.6,36.909130624726956,40.0
high,909,JSQ,262.0,0.522542,73.0667,30.569444444444443,522.0
high,910,JSQ,117.0,0.780125,90.9333,26.633440514469452,798.0
high,911,JSQ,325.0,0.417431,63.7333,29.531575294934072,360.0
high,912,JSQ,390.0,0.286069,57.2,33.77975848188614,236.0
high,913,JSQ,355.0,0.385722,62.4,30.332731648616125,433.0
high,914,JSQ,201.0,0.636861,80.2667,29.014568158168576,681.0
high,915,JSQ,524.0,0.011278,3.6,30.955230305639258,25.0
high,916,JSQ,511.0,0.015514,8.2667,28.166963490650044,29.0
high,917,JSQ,360.0,0.415069,60.0667,29.619949494949495,413.0
high,918,JSQ,188.0,0.668139,81.4667,29.89803012746234,657.0
high,919,JSQ,483.0,0.139569,28.2667,33.40780809031044,103.0
high,920,JSQ,454.0,0.190667,47.6667,29.071392146863843,102.0
high,921,JSQ,469.0,0.116792,27.9333,29.26265060240964,103.0
high,922,JSQ,397.0,0.309611,52.4,28.835217132659132,223.0
