label,policy,display_name,execution_device,model_device,load,seed,ticks,wall_time_s,wall_time_excluding_initialization_s,simulated_ticks_per_s,initialization_time_ms,assignment_calls,assignment_mean_ms,assignment_median_ms,assignment_p95_ms,assignment_total_ms,completed_orders,completed_tasks,model_assign_calls,model_inference_calls,fallback_greedy_calls,audit_passed
proposed_cpu,proposed,Proposed,cpu,cpu,high,728,1500,140.96074349060655,140.9337547905743,10.641260558475688,26.988700032234192,1500,62.33516002756854,31.00190218538046,200.16763154417274,93502.74004135281,765,3052,1497,5983,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,728,1500,453.72644999064505,453.69447948411107,3.305956705920334,31.97050653398037,1500,62.22626255452633,46.38035222887993,170.65937584266067,93339.3938317895,551,2330,1497,4588,0,True
greedy,greedy,Greedy,cpu,,high,729,1500,294.013661053963,294.013661053963,5.1018037550462365,0,1500,1.182416293149193,0.8976776152849197,3.0049368739128113,1773.6244397237897,582,2421,,,,True
jsq,jsq,JSQ,cpu,,high,729,1500,61.043035224080086,61.043035224080086,24.57282791548157,0,1500,1.1447958679248889,0.9697098284959793,2.5539541617035866,1717.1938018873334,664,2805,,,,True
hungarian,hungarian,Hungarian,cpu,,high,729,1500,108.57821128424257,108.57821128424257,13.814926422698287,0,1500,14.769320640092095,2.906425856053829,58.566165808588266,22153.980960138142,521,2919,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,high,729,1500,565.1065249117091,565.0795714082196,2.6543668032046814,26.953503489494324,1500,78.92237907648087,26.07563976198435,343.8528288621455,118383.5686147213,658,2827,1497,8029,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,729,1500,549.4517034003511,549.4199347067624,2.729994266497057,31.76869358867407,1500,69.10481671864788,19.129829481244087,306.2484129797666,103657.22507797182,658,2827,1497,8029,0,True
greedy,greedy,Greedy,cpu,,high,730,1500,60.04075038712472,60.04075038712472,24.983032196107654,0,1500,1.5549031253904104,1.4160186983644962,3.6621030420064926,2332.3546880856156,715,3069,,,,True
jsq,jsq,JSQ,cpu,,high,730,1500,50.17209071666002,50.17209071666002,29.89709973361572,0,1500,1.1873854734003544,0.9510996751487255,2.897622995078563,1781.0782101005316,714,2982,,,,True
hungarian,hungarian,Hungarian,cpu,,high,730,1500,55.99465771205723,55.99465771205723,26.788269833052443,0,1500,0.7771905312935511,0.46868762001395226,2.2577457129955287,1165.7857969403267,715,2980,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,high,730,1500,395.778444156982,395.7527215881273,3.789999233523285,25.722568854689598,1500,69.91865802680452,21.770230494439602,239.67731520533553,104877.98704020679,715,3000,1497,7266,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,730,1500,360.5456643179059,360.5131902350113,4.160360665653149,32.47408289462328,1500,66.13411154722174,4.905310459434986,234.11101256497204,99201.16732083261,717,2990,1497,7985,0,True
