label,policy,display_name,execution_device,model_device,load,seed,ticks,wall_time_s,wall_time_excluding_initialization_s,simulated_ticks_per_s,initialization_time_ms,assignment_calls,assignment_mean_ms,assignment_median_ms,assignment_p95_ms,assignment_total_ms,completed_orders,completed_tasks,model_assign_calls,model_inference_calls,fallback_greedy_calls,audit_passed
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,726,1500,159.58009056281298,159.54547366593033,9.3996688102491,34.616896882653236,1500,74.78918852160375,4.034842364490032,344.21509951353045,112183.78278240561,650,2784,1497,9307,0,True
greedy,greedy,Greedy,cpu,,low,727,1500,51.94796787016094,51.94796787016094,28.87504673424587,0,1500,0.9019701400150856,0.7125250995159149,2.3096975404769178,1352.9552100226283,668,2866,,,,True
jsq,jsq,JSQ,cpu,,low,727,1500,54.00231098663062,54.00231098663062,27.776589049519675,0,1500,1.0955775907884042,0.9003560990095139,2.8529106639325614,1643.3663861826062,666,2859,,,,True
hungarian,hungarian,Hungarian,cpu,,low,727,1500,51.00821427349001,51.00821427349001,29.407028286806348,0,1500,0.7571606542915106,0.4623597487807274,2.4619623553007832,1135.7409814372659,667,2854,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,727,1500,160.6689388640225,160.64186621736735,9.335967552941154,27.072646655142307,1500,79.70544414843123,4.136145580559969,320.29094006866205,119558.16622264683,668,2862,1497,8791,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,727,1500,150.04165339004248,149.99187144823372,9.99722387822972,49.781941808760166,1500,72.57919496297836,4.268638789653778,291.135102044791,108868.79244446754,668,2862,1497,8791,0,True
greedy,greedy,Greedy,cpu,,low,728,1500,73.59171730279922,73.59171730279922,20.382728586535432,0,1500,0.903327235331138,0.6735548377037048,2.3495203349739313,1354.990852996707,692,2912,,,,True
jsq,jsq,JSQ,cpu,,low,728,1500,41.770129271782935,41.770129271782935,35.91082972810664,0,1500,1.0392176043242216,0.7406859658658504,2.7845948934555054,1558.8264064863324,685,2885,,,,True
hungarian,hungarian,Hungarian,cpu,,low,728,1500,684.7622624831274,684.7622624831274,2.190541275683924,0,1500,14.658275614803037,8.830999489873648,44.52159064821898,21987.413422204554,328,1376,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,728,1500,184.15052060130984,184.1238729543984,8.145510504678589,26.64764691144228,1500,84.75836964510381,23.68700783699751,346.20339656248683,127137.55446765572,692,2885,1497,9281,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,728,1500,172.01824788656086,171.98201937507838,8.720005106604678,36.22851148247719,1500,76.63087532172601,18.572361674159765,316.43183142878115,114946.312982589,692,2885,1497,9281,0,True
greedy,greedy,Greedy,cpu,,low,729,1500,39.77085125166923,39.77085125166923,37.716064725595814,0,1500,0.9221768962840239,0.7262155413627625,2.323169680312276,1383.2653444260359,693,2918,,,,True
jsq,jsq,JSQ,cpu,,low,729,1500,35.62703331466764,35.62703331466764,42.10286011612565,0,1500,1.1225306714574497,0.9293714538216591,2.75402944535017,1683.7960071861744,691,2890,,,,True
hungarian,hungarian,Hungarian,cpu,,low,729,1500,391.4829047564417,391.4829047564417,3.8315849345534367,0,1500,12.237532289077839,1.6350401565432549,43.82264730520546,18356.298433616757,403,1850,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,729,1500,178.3309780023992,178.3042651284486,8.411326045550087,26.712873950600624,1500,85.49699015853305,23.335529025644064,345.1945410110055,128245.48523779958,693,2913,1497,9564,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,729,1500,169.0755898784846,169.04184908233583,8.871771502190569,33.74079614877701,1500,79.09074059935908,18.382977228611708,326.88544820994133,118636.11089903861,693,2913,1497,9564,0,True
greedy,greedy,Greedy,cpu,,low,730,1500,53.822448880411685,53.822448880411685,27.869411949888345,0,1500,0.8487867737809817,0.6753369234502316,2.186506148427725,1273.1801606714725,671,2838,,,,True
jsq,jsq,JSQ,cpu,,low,730,1500,46.696488946676254,46.696488946676254,32.12232940495554,0,1500,0.9133889706184467,0.6560720503330231,2.24460051394999,1370.08345592767,673,2828,,,,True
hungarian,hungarian,Hungarian,cpu,,low,730,1500,57.11429765727371,57.11429765727371,26.263126073983504,0,1500,0.7919123756388823,0.46557607129216194,2.3307147435843936,1187.8685634583235,676,2909,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,730,1500,355.3184992093593,355.2922503706068,4.221564605664329,26.248838752508163,1500,88.14333000344534,4.291707184165716,360.82347924821056,132214.99500516802,668,2812,1497,9908,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,730,1500,343.21153790224344,343.1720136795193,4.370482441144631,39.52422272413969,1500,80.21859107352793,4.329127259552479,327.0581073127684,120327.8866102919,668,2812,1497,9908,0,True
