campaign,variant,load,seed,arm,ticks,wall_time_s,assignment_time_ms_mean
main_50seed,map20_r48_s4,high,946,PhaseC,1500,493.33,152.0687
main_50seed,map20_r48_s4,high,946,ComboS1J1,1500,326.4,158.7204
main_50seed,map20_r48_s4,high,947,Greedy,1500,939.01,
main_50seed,map20_r48_s4,high,947,Hungarian,1500,80.73,
main_50seed,map20_r48_s4,high,947,JSQ,1500,133.14,
main_50seed,map20_r48_s4,high,947,PhaseC,1500,982.78,46.1546
main_50seed,map20_r48_s4,high,947,ComboS1J1,1500,962.01,106.6874
main_50seed,map20_r48_s4,high,948,Greedy,1500,2408.98,
main_50seed,map20_r48_s4,high,948,Hungarian,1500,1634.63,
main_50seed,map20_r48_s4,high,948,JSQ,1500,114.05,
main_50seed,map20_r48_s4,high,948,PhaseC,1500,1897.57,33.6712
main_50seed,map20_r48_s4,high,948,ComboS1J1,1500,439.72,193.1894
main_50seed,map20_r48_s4,high,949,Greedy,1500,621.72,
main_50seed,map20_r48_s4,high,949,Hungarian,1500,910.47,
main_50seed,map20_r48_s4,high,949,JSQ,1500,507.64,
main_50seed,map20_r48_s4,high,949,PhaseC,1500,1113.37,52.6534
main_50seed,map20_r48_s4,high,949,ComboS1J1,1500,793.68,115.118
main_50seed,map20_r48_s4,low,900,Greedy,1500,245.54,
main_50seed,map20_r48_s4,low,900,Hungarian,1500,582.28,
main_50seed,map20_r48_s4,low,900,JSQ,1500,77.36,
main_50seed,map20_r48_s4,low,900,PhaseC,1500,800.6,148.2213
main_50seed,map20_r48_s4,low,900,ComboS1J1,1500,1016.11,122.1535
main_50seed,map20_r48_s4,low,901,Greedy,1500,96.17,
main_50seed,map20_r48_s4,low,901,Hungarian,1500,526.86,
main_50seed,map20_r48_s4,low,901,JSQ,1500,816.73,
main_50seed,map20_r48_s4,low,901,PhaseC,1500,675.27,150.7743
main_50seed,map20_r48_s4,low,901,ComboS1J1,1500,364.46,184.5375
main_50seed,map20_r48_s4,low,902,Greedy,1500,929.06,
main_50seed,map20_r48_s4,low,902,Hungarian,1500,46.51,
main_50seed,map20_r48_s4,low,902,JSQ,1500,44.57,
main_50seed,map20_r48_s4,low,902,PhaseC,1500,438.19,251.7439
main_50seed,map20_r48_s4,low,902,ComboS1J1,1500,439.74,263.2949
